"","mz","rtime","p-value","t-score"
"1",215.019240730116,0.627,0.954137789241643,-0.0584601443357145
"2",246.097230405514,11.298,0.948283960016514,0.0657944765209195
"3",375.291170549329,1.089,0.898877670985145,-0.129193302789132
"4",313.238879952394,1.078,0.961289525728481,-0.0493538754904485
"5",171.067015592185,3.089,0.604364069400895,-0.527800212193497
"6",441.177515671893,10.943,0.352163076363122,-0.959284677282642
"7",371.119964703824,13.194,0.829376775240031,-0.218657648723116
"8",447.348438623429,0.763,0.908604558688523,0.11661721608685
"9",325.107612728672,6.867,0.654152052573389,0.456939316831094
"10",139.984894356841,4.903,0.562709954877414,-0.591406988042326
"11",211.072989272105,8.373,0.34948785311546,-0.960950796468606
"12",244.092925984728,0.712,0.62385379804571,0.499400299875434
"13",507.232061491484,9.385,0.668137187211198,-0.435846211297466
"14",341.10427144193,1.097,0.550070985634879,0.610741980127493
"15",186.041487596284,13.793,0.777309554388403,0.288372306881255
"16",379.174097713346,3.78,0.592215494855875,0.545715231330666
"17",269.175925117674,1.934,0.582426667489684,-0.560111640565111
"18",347.222039379375,8.445,0.2489103878318,1.19243517676251
"19",439.126359352378,0.574,0.731465944092053,-0.34920007581113
"20",447.166924543793,1.672,0.146454906791835,1.54606643934656
"21",344.151257764214,3.134,0.80010140182059,0.257820036364428
"22",111.082099296953,2.731,0.835280273304521,-0.210972542906713
"23",423.188195974007,3.701,0.823708222033996,-0.226416103659056
"24",260.99279266092,0.631,0.0875803546610872,-1.87323509461187
"25",393.230219134611,0.541,0.652912462942619,0.458648068629917
"26",165.077416388711,5.793,0.336416951531427,1.00357280702725
"27",239.077631491236,2.792,0.334700165456736,-0.991274690594363
"28",397.185904968713,2.775,0.528166100977096,0.644376924390973
"29",198.041108949844,1.322,0.639774106869383,-0.476476006665607
"30",171.077951568879,11.436,0.925277008011449,0.095226492354475
"31",156.030927633281,10.128,0.216097163205722,-1.31190570184314
"32",182.082556159727,2.21,0.996143992704636,0.00490397272826536
"33",175.072067591111,0.667,0.140193149639698,1.59334322168813
"34",205.083586583839,10.174,0.402573666849061,0.862982248069287
"35",227.104532108165,6.32,0.923530977597048,-0.0974286394772236
"36",152.986183548985,0.607,0.870541457847494,-0.165521938825438
"37",269.103133948361,11.077,0.0323558786874716,-2.44753560727822
"38",177.076626526394,0.698,0.626714125499994,-0.494827266264702
"39",402.132536559183,2.371,0.984719336183749,-0.0195156701437363
"40",319.114092422385,8.935,0.981613959940307,-0.0234624107460697
"41",175.072134590261,0.646,0.140193149639698,1.59334322168813
"42",495.261427826501,6.486,0.641805997005045,-0.47313462939508
"43",241.14394461582,6.823,0.142165751523894,-1.54354594839632
"44",395.279439483786,9.832,0.776963666912926,-0.288100326198832
"45",184.025490366993,0.898,0.110846362758423,-1.72950512391746
