"","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20","G21","G22","G23","G24","G25","G26","G27","G28","G29","G30","G31","G32","G33","G34","G35","G36","G37","G38","G39","G40","G41","G42","G43","G44","G45","G46","G47","G48","G49","G50","G51","G52","G53","G54","G55","G56","G57","G58","G59","G60","G61","G62","G63","G64","G65","G66","G67","G68","G69","G70","G71","G72","G73","G74","G75","G76","G77","G78","G79"
"MP01",0.128477037798088,1.51477139891798,1.2270893264662,0.128477037798088,-0.970135250870021,1.10930629080981,-0.970135250870021,-0.970135250870021,0.128477037798088,-0.276988070310076,-0.276988070310076,-0.970135250870021,2.74343681583429,-0.276988070310076,-0.970135250870021,1.2270893264662,0.639302661564079,0.416159110249869,-0.970135250870021,-0.970135250870021,-0.970135250870021,-0.970135250870021,-0.970135250870021,-0.276988070310076,2.0743871868534,-0.970135250870021,0.128477037798088,-0.970135250870021,0.128477037798088,1.51477139891798,-0.970135250870021,-0.276988070310076,-0.970135250870021,-0.970135250870021,-0.970135250870021,-0.276988070310076,0.821624218358034,-0.970135250870021,0.128477037798088,1.2270893264662,-0.276988070310076,-0.970135250870021,2.90106576003787,-0.970135250870021,1.10930629080981,0.821624218358034,1.66892207874524,-0.276988070310076,0.128477037798088,0.821624218358034,-0.970135250870021,-0.276988070310076,-0.276988070310076,0.975774898185292,-0.276988070310076,0.975774898185292,0.821624218358034,1.10930629080981,-0.970135250870021,0.821624218358034,0.128477037798088,-0.970135250870021,-0.970135250870021,-0.276988070310076,0.639302661564079,0.639302661564079,-0.970135250870021,0.128477037798088,-0.970135250870021,-0.276988070310076,-0.970135250870021,0.416159110249869,-0.970135250870021,0.128477037798088,1.66892207874524,0.821624218358034,-0.970135250870021,-0.276988070310076,-0.970135250870021
"MP02",0.153961632408839,1.18358104959,0.847108812968784,0.336283189202794,0.336283189202794,-0.762329099465316,-1.45547628002526,-0.356863991357152,2.51481563352686,-0.0691819189053705,1.18358104959,-1.45547628002526,0.623965261654575,0.153961632408839,0.336283189202794,0.336283189202794,0.623965261654575,-0.762329099465316,0.336283189202794,-1.45547628002526,1.58904615769816,-0.356863991357152,0.336283189202794,1.63556617333305,0.741748297310958,-1.45547628002526,-0.356863991357152,1.87672823014994,2.0708842445909,0.153961632408839,0.847108812968784,-0.762329099465316,-0.356863991357152,2.28219333825811,-1.45547628002526,-1.45547628002526,0.336283189202794,-1.45547628002526,-1.45547628002526,-0.356863991357152,-0.762329099465316,-0.762329099465316,1.72257755032268,-0.356863991357152,2.7492163393657,0.336283189202794,2.3946713216848,-0.762329099465316,-0.0691819189053705,-0.356863991357152,-1.45547628002526,-0.356863991357152,2.0708842445909,-0.356863991357152,0.490433869030052,-0.356863991357152,1.37773706403095,-0.356863991357152,-0.762329099465316,0.490433869030052,-0.356863991357152,-0.762329099465316,-1.45547628002526,0.336283189202794,0.623965261654575,-0.762329099465316,-1.45547628002526,0.153961632408839,-0.0691819189053705,-1.45547628002526,-0.762329099465316,-1.45547628002526,0.153961632408839,-0.0691819189053705,1.10947307743628,-0.762329099465316,-0.762329099465316,-0.762329099465316,-1.45547628002526
"MP03",-0.381868522446358,0.311278658113587,1.12220887432992,0.0235965856618064,-0.381868522446358,0.311278658113587,-1.0750157030063,-0.381868522446358,0.0235965856618064,0.0235965856618064,0.311278658113587,-1.0750157030063,2.10303812734164,-1.0750157030063,-1.0750157030063,1.69757301923348,0.716743766221752,-0.381868522446358,-1.0750157030063,-1.0750157030063,-1.0750157030063,-1.0750157030063,0.0235965856618064,-0.381868522446358,3.22904939019787,-1.0750157030063,0.311278658113587,2.35897150147884,-0.381868522446358,2.2571888071689,-1.0750157030063,-0.381868522446358,-1.0750157030063,-1.0750157030063,-1.0750157030063,-0.381868522446358,0.87089444604901,-1.0750157030063,-1.0750157030063,0.311278658113587,-0.381868522446358,0.311278658113587,2.68618441268726,0.0235965856618064,0.87089444604901,0.311278658113587,2.1438601218619,0.311278658113587,0.0235965856618064,-1.0750157030063,-1.0750157030063,-1.0750157030063,-0.381868522446358,-1.0750157030063,-0.381868522446358,0.87089444604901,1.69757301923348,2.48033235848311,0.311278658113587,-0.381868522446358,-1.0750157030063,-1.0750157030063,-0.381868522446358,0.0235965856618064,-0.381868522446358,1.32287956979207,-1.0750157030063,-0.381868522446358,0.0235965856618064,-1.0750157030063,0.534422209427797,2.2571888071689,-0.381868522446358,-0.381868522446358,0.311278658113587,0.534422209427797,-0.381868522446358,-0.381868522446358,-1.0750157030063
"MP04",0.298291476929357,1.76462854572278,1.68458583804925,-0.800320811738752,1.14558933731656,-0.800320811738752,-0.107173631178807,-0.800320811738752,-0.800320811738752,-0.107173631178807,0.991438657489303,0.298291476929357,1.14558933731656,-0.800320811738752,0.298291476929357,0.298291476929357,0.991438657489303,1.39690376559747,-0.107173631178807,-0.107173631178807,-0.800320811738752,-0.800320811738752,-0.800320811738752,-0.800320811738752,1.83873651787651,3.20701237349372,-0.800320811738752,-0.107173631178807,-0.800320811738752,-0.107173631178807,-0.800320811738752,-0.800320811738752,-0.800320811738752,0.298291476929357,-0.800320811738752,-0.800320811738752,0.991438657489303,-0.800320811738752,0.585973549381138,0.585973549381138,0.298291476929357,-0.800320811738752,1.39690376559747,-0.800320811738752,1.50226428125529,-0.107173631178807,1.76462854572278,0.809117100695348,-0.107173631178807,-0.107173631178807,0.585973549381138,0.298291476929357,-0.800320811738752,-0.800320811738752,-0.800320811738752,-0.800320811738752,0.585973549381138,-0.800320811738752,-0.107173631178807,1.68458583804925,-0.800320811738752,-0.800320811738752,-0.800320811738752,-0.800320811738752,-0.800320811738752,1.76462854572278,0.298291476929357,-0.800320811738752,-0.800320811738752,-0.107173631178807,-0.800320811738752,-0.107173631178807,-0.800320811738752,-0.800320811738752,0.585973549381138,0.809117100695348,-0.107173631178807,-0.800320811738752,-0.800320811738752
"MP05",0.790740161308153,2.23110174369832,3.3471057750783,-0.307872127359956,0.790740161308153,-0.307872127359956,-1.40648441602807,-0.307872127359956,-1.40648441602807,0.202953496406034,0.385275053199989,-0.71333723546812,3.74680717846971,-1.40648441602807,1.58924785752593,-0.307872127359956,1.58924785752593,-1.40648441602807,-1.40648441602807,-1.40648441602807,1.30156578507414,1.72900979990108,-1.40648441602807,-1.40648441602807,2.40017807374225,-1.40648441602807,-1.40648441602807,0.202953496406034,-1.40648441602807,1.63803802169536,-0.71333723546812,-1.40648441602807,-1.40648441602807,0.539425733027248,-1.40648441602807,0.202953496406034,1.68455803733025,-1.40648441602807,0.202953496406034,1.63803802169536,0.202953496406034,-1.40648441602807,2.23110174369832,-1.40648441602807,2.23110174369832,-0.71333723546812,-0.0201900549081752,0.89610067696598,1.23257291358719,2.20443349661616,-1.40648441602807,0.202953496406034,1.99471296563409,-1.40648441602807,0.89610067696598,-0.0201900549081752,0.385275053199989,0.991410856770305,-0.71333723546812,1.53795456313837,-1.40648441602807,-1.40648441602807,-1.40648441602807,-0.71333723546812,-0.307872127359956,-0.307872127359956,0.202953496406034,1.15846494143347,-0.307872127359956,-0.71333723546812,-1.40648441602807,-1.40648441602807,-1.40648441602807,-0.71333723546812,2.91100369750824,-0.307872127359956,-1.40648441602807,-0.71333723546812,-0.71333723546812
"MP06",0.334679305716663,1.02782648627661,1.55845473733878,0.334679305716663,-0.176146318049328,0.334679305716663,-1.27475860671744,-0.176146318049328,1.94411721815076,0.334679305716663,0.922465970618782,-1.27475860671744,1.90329522363051,-1.27475860671744,-0.581611426157492,-0.176146318049328,1.02782648627661,-1.27475860671744,-0.176146318049328,-1.27475860671744,1.12313666608093,-1.27475860671744,0.334679305716663,-1.27475860671744,0.334679305716663,-1.27475860671744,0.671151542337876,-1.27475860671744,0.334679305716663,0.334679305716663,-1.27475860671744,-1.27475860671744,-1.27475860671744,-1.27475860671744,-1.27475860671744,-0.176146318049328,1.12313666608093,-1.27475860671744,-1.27475860671744,1.55845473733878,-0.581611426157492,-1.27475860671744,2.57538899499262,-0.581611426157492,2.33615930592679,1.43329159438477,1.49783011552234,0.671151542337876,-0.176146318049328,-0.581611426157492,-1.27475860671744,0.334679305716663,2.30876033173867,-1.27475860671744,-0.176146318049328,1.81628384664088,2.02107825928689,0.334679305716663,2.57538899499262,0.334679305716663,-1.27475860671744,-0.581611426157492,1.12313666608093,-0.581611426157492,-1.27475860671744,-0.176146318049328,-0.176146318049328,-0.176146318049328,0.517000862510617,-0.176146318049328,0.111535754402453,-1.27475860671744,-0.581611426157492,0.111535754402453,0.334679305716663,0.111535754402453,-0.581611426157492,-0.176146318049328,-1.27475860671744
"MP07",-0.348152276220799,0.904610692274569,1.59775787283451,-1.04129945678074,-0.348152276220799,2.3926877477044,-1.04129945678074,0.0573128318873655,0.0573128318873655,0.0573128318873655,0.750460012447311,-1.04129945678074,0.904610692274569,-1.04129945678074,-1.04129945678074,-0.348152276220799,0.568138455653356,-0.348152276220799,-1.04129945678074,-1.04129945678074,-0.348152276220799,-0.348152276220799,-1.04129945678074,1.2612856362133,3.16339316261022,-1.04129945678074,-0.348152276220799,-1.04129945678074,0.344994904339147,2.09419475914841,-1.04129945678074,-0.348152276220799,-0.348152276220799,-1.04129945678074,-1.04129945678074,-0.348152276220799,-1.04129945678074,-1.04129945678074,0.0573128318873655,0.904610692274569,-1.04129945678074,-1.04129945678074,2.59628670294564,-1.04129945678074,1.15592512055548,1.35659581601763,0.750460012447311,0.0573128318873655,0.750460012447311,-0.348152276220799,-1.04129945678074,-0.348152276220799,-0.348152276220799,-0.348152276220799,-1.04129945678074,2.25453740922359,1.03814208489909,0.904610692274569,1.66675074432147,1.44360719300726,-1.04129945678074,-0.348152276220799,-0.348152276220799,0.344994904339147,-0.348152276220799,2.6222621893489,-0.348152276220799,-0.348152276220799,0.568138455653356,-1.04129945678074,-0.348152276220799,-0.348152276220799,-1.04129945678074,-0.348152276220799,0.0573128318873655,1.35659581601763,-1.04129945678074,-0.348152276220799,-1.04129945678074
"MP08",0.357292878359382,2.59088509986648,2.85599285027972,-1.43446659086867,-0.741319410308728,0.51144355818664,-1.43446659086867,-1.43446659086867,-1.43446659086867,0.174971321565428,1.39874675318754,-1.43446659086867,2.03126931193105,-1.43446659086867,0.51144355818664,-0.335854302200563,1.74358723947927,-0.0481722297487823,-0.335854302200563,-1.43446659086867,0.644974950811163,1.20459073874659,-1.43446659086867,-1.43446659086867,2.89626674941766,-1.43446659086867,-0.335854302200563,0.357292878359382,-1.43446659086867,1.13048276659286,0.174971321565428,-0.741319410308728,-0.741319410308728,0.357292878359382,-0.741319410308728,-0.0481722297487823,1.74358723947927,-1.43446659086867,0.174971321565428,1.33812213137111,-0.741319410308728,0.174971321565428,3.14024438763471,-1.43446659086867,1.89773791930653,0.357292878359382,1.27358361023354,0.357292878359382,-0.335854302200563,0.644974950811163,1.50997238829777,-0.335854302200563,1.86137027513566,-0.335854302200563,-0.741319410308728,0.644974950811163,1.45590516702749,1.39874675318754,-1.43446659086867,2.25441286324526,0.174971321565428,-1.43446659086867,-1.43446659086867,-1.43446659086867,-0.741319410308728,0.762757986467546,-0.335854302200563,-0.741319410308728,-0.741319410308728,-0.741319410308728,-1.43446659086867,-1.43446659086867,-0.741319410308728,0.644974950811163,0.357292878359382,-0.335854302200563,-0.741319410308728,-0.741319410308728,-1.43446659086867
"MP09",0.45066777385459,1.03845443875671,1.40617921888203,-0.465622958019565,-0.465622958019565,0.45066777385459,-1.15877013857951,-0.0601578499114008,-0.0601578499114008,1.78566884058693,0.632989330648545,-1.15877013857951,2.20852569140696,-1.15877013857951,0.45066777385459,0.22752422254038,1.32613651120849,-0.465622958019565,-1.15877013857951,-1.15877013857951,-0.465622958019565,-1.15877013857951,-1.15877013857951,-0.465622958019565,2.57889947970386,-1.15877013857951,-0.0601578499114008,-1.15877013857951,-1.15877013857951,0.632989330648545,-1.15877013857951,-0.465622958019565,-0.465622958019565,-1.15877013857951,-0.465622958019565,-0.465622958019565,0.787140010475803,-1.15877013857951,-0.465622958019565,1.32613651120849,-0.465622958019565,-1.15877013857951,2.83021390798476,-1.15877013857951,0.787140010475803,1.40617921888203,2.47881602114688,-0.0601578499114008,0.787140010475803,0.22752422254038,-1.15877013857951,-0.0601578499114008,-0.465622958019565,-0.465622958019565,-1.15877013857951,1.78566884058693,1.5492800625227,0.632989330648545,2.36759038603665,0.787140010475803,-1.15877013857951,-0.465622958019565,-1.15877013857951,0.632989330648545,-1.15877013857951,1.88575229914391,-0.465622958019565,-0.465622958019565,0.787140010475803,-0.465622958019565,-0.0601578499114008,1.03845443875671,-1.15877013857951,-0.0601578499114008,-1.15877013857951,0.632989330648545,-0.465622958019565,-0.465622958019565,-1.15877013857951
"MP10",0.43780681725333,2.16057341499443,1.02559348215545,0.620128374047284,2.08646544284071,-0.0730188065126608,-1.17163109518077,-1.17163109518077,0.21466326593912,-0.0730188065126608,0.907810446499065,-1.17163109518077,1.60095762705901,-1.17163109518077,-0.478483914620825,0.620128374047284,0.774279053874543,-1.17163109518077,0.43780681725333,0.43780681725333,0.43780681725333,0.620128374047284,-1.17163109518077,-0.478483914620825,-0.0730188065126608,-1.17163109518077,-0.478483914620825,1.53641910592144,-1.17163109518077,-0.0730188065126608,2.63503139458955,-1.17163109518077,-1.17163109518077,-1.17163109518077,-1.17163109518077,-0.478483914620825,1.31327555460723,-1.17163109518077,1.60095762705901,0.21466326593912,-0.478483914620825,-1.17163109518077,2.35472942943539,-1.17163109518077,1.60095762705901,-0.0730188065126608,1.60095762705901,0.21466326593912,0.620128374047284,-1.17163109518077,-0.478483914620825,0.43780681725333,2.88881191536565,-1.17163109518077,-0.478483914620825,-0.0730188065126608,0.21466326593912,0.774279053874543,-0.478483914620825,1.39331826228077,-0.0730188065126608,-1.17163109518077,-1.17163109518077,-0.478483914620825,-1.17163109518077,-0.0730188065126608,-0.478483914620825,-0.478483914620825,0.21466326593912,-1.17163109518077,-0.478483914620825,-1.17163109518077,-1.17163109518077,0.907810446499065,1.96386312074838,1.2262641776176,-1.17163109518077,-0.478483914620825,-1.17163109518077
